date,ticker,y_next_1m,pred_return,pred_rank,actual_rank,rank_error,pred_topk,actual_topk,topk_hit,pred_minus_actual
2025-04-30,AV.L,0.0903571077637759,0.0051978295142214,58,24,34,False,False,False,-0.0851592782495545
2025-04-30,SGRO.L,0.0240965444438252,0.0051863058410443,59,64,5,False,False,False,-0.0189102386027809
2025-04-30,ABF.L,0.0093055455476205,0.0051780256848487,60,70,10,False,False,False,-0.0041275198627718
2025-04-30,KGF.L,-0.0331578428166813,0.00516856771357,61,87,26,False,False,False,0.0383264105302513
2025-04-30,LAND.L,0.0683545480564673,0.0051168097774975,62,37,25,False,False,False,-0.06323773827896981
2025-04-30,RMV.L,0.0100298417471575,0.0050682503592008,63,69,6,False,False,False,-0.0049615913879567
2025-04-30,BT-A.L,0.0325084723581765,0.0050116867336494,64,57,7,False,False,False,-0.0274967856245271
2025-04-30,LLOY.L,0.0534933894186338,0.0049213961125029,65,44,21,False,False,False,-0.0485719933061309
2025-04-30,BLND.L,-0.0076258408496818,0.0048565367711869,66,75,9,False,False,False,0.0124823776208687
2025-04-30,SDLF.L,0.061087905275772,0.0047534162925439,67,41,26,False,False,False,-0.0563344889832281
2025-04-30,CCH.L,-0.009484402844795,0.0047128313941926,68,76,8,False,False,False,0.0141972342389876
2025-04-30,SGE.L,-0.0148896443094093,0.0045675821222199,69,81,12,False,False,False,0.0194572264316292
2025-04-30,HLN.L,0.0996280827258704,0.0043092476495803,70,19,51,False,True,False,-0.0953188350762901
2025-04-30,VOD.L,0.0494129865518433,0.0042813157854905,71,46,25,False,False,False,-0.0451316707663528
2025-04-30,BBOX.L,0.0274092103470673,0.004236684738181,72,61,11,False,False,False,-0.0231725256088863
2025-04-30,CCEP.L,0.0120102065854519,0.0041855861810805,73,66,7,False,False,False,-0.007824620404371398
2025-04-30,SSE.L,0.0407800978261623,0.004132183221998,74,53,21,False,False,False,-0.0366479146041643
2025-04-30,BATS.L,0.0264779271759416,0.0040457834175676,75,62,13,False,False,False,-0.022432143758374
2025-04-30,MKS.L,-0.0374665037011676,0.0040184188675415,76,89,13,False,False,False,0.0414849225687091
2025-04-30,REL.L,-0.0178415658338975,0.0039503400298901,77,82,5,False,False,False,0.0217919058637876
2025-04-30,ULVR.L,-0.0108380136827886,0.003930153730572,78,79,1,False,False,False,0.014768167413360601
2025-04-30,NXT.L,0.0433899279038669,0.0038659388903443,79,52,27,False,False,False,-0.0395239890135226
2025-04-30,EZJ.L,0.1649818042761741,0.0038220931277531,80,5,75,False,True,False,-0.16115971114842098
2025-04-30,CNA.L,-0.0110541931471167,0.0037747812053762,81,80,1,False,False,False,0.0148289743524929
