date,ticker,in_predicted_top,in_actual_top,in_predicted_bottom,in_actual_bottom,y_pred,y_true,model
2025-09-30,SMIN.L,1,0,0,0,0.0128156655646459,0.0707220346739769,Ridge daily_ohlcv
2025-09-30,SMT.L,0,0,1,0,0.0009091286570649,0.0298901329100209,Ridge daily_ohlcv
2025-09-30,SPX.L,0,0,0,0,0.0059467751422264,0.0411623022055953,Ridge daily_ohlcv
2025-09-30,SSE.L,0,1,0,0,0.0048867020668689,0.100201002495829,Ridge daily_ohlcv
2025-09-30,STAN.L,1,1,0,0,0.0143436570761353,0.0863810749193476,Ridge daily_ohlcv
2025-09-30,STJ.L,1,0,0,0,0.0204142174274144,0.0216536123751629,Ridge daily_ohlcv
2025-09-30,SVT.L,0,0,1,0,0.0005030036351594,0.0745749310638457,Ridge daily_ohlcv
2025-09-30,TSCO.L,0,0,0,0,0.0019457560552021,0.031311516987063,Ridge daily_ohlcv
2025-09-30,ULVR.L,0,0,1,0,0.0008302670253551,0.0429545548657575,Ridge daily_ohlcv
2025-09-30,UU.L,0,0,1,0,-0.0132626676157465,0.0470998426959685,Ridge daily_ohlcv
2025-09-30,VOD.L,0,0,0,0,0.0069089478671021,0.0694056725838634,Ridge daily_ohlcv
2025-09-30,WEIR.L,0,1,1,0,-0.0002609231613611,0.0835319350379166,Ridge daily_ohlcv
2025-09-30,WTB.L,0,0,0,1,0.0042394828754047,-0.1002030400808522,Ridge daily_ohlcv
2025-10-31,AAF.L,0,1,0,0,-0.0007830668108857,0.1237262587406531,Ridge daily_ohlcv
2025-10-31,AAL.L,0,0,0,0,0.0080741860720594,-0.0083478062667609,Ridge daily_ohlcv
2025-10-31,ABF.L,0,0,1,1,-0.0037060310911765,-0.069281082748405,Ridge daily_ohlcv
2025-10-31,ADM.L,0,0,0,0,0.008227473054084,-0.0317460317460317,Ridge daily_ohlcv
2025-10-31,ALW.L,0,0,1,0,-0.002586238207784,5.506112877062819e-05,Ridge daily_ohlcv
2025-10-31,ANTO.L,1,0,0,0,0.0145917462060348,-0.0114695491067636,Ridge daily_ohlcv
2025-10-31,AUTO.L,0,0,0,1,0.0014233901210006,-0.1811891613192272,Ridge daily_ohlcv
2025-10-31,AV.L,0,0,0,0,0.0094068042490626,-0.0251271559059768,Ridge daily_ohlcv
2025-10-31,AZN.L,0,1,0,0,0.0071392961429939,0.1206094720311423,Ridge daily_ohlcv
2025-10-31,BA.L,1,0,0,1,0.0112908984030039,-0.1178514163548906,Ridge daily_ohlcv
2025-10-31,BAB.L,1,0,0,1,0.0216482183780747,-0.0659521353015842,Ridge daily_ohlcv
2025-10-31,BARC.L,1,1,0,0,0.0128060332900968,0.0571253672373963,Ridge daily_ohlcv
2025-10-31,BATS.L,1,1,0,0,0.0165937669556638,0.1324283387106652,Ridge daily_ohlcv
2025-10-31,BBOX.L,0,0,1,0,-0.0060925409788195,-0.0085371529407912,Ridge daily_ohlcv
2025-10-31,BEZ.L,0,0,0,1,0.0038629571251987,-0.1429338838691799,Ridge daily_ohlcv
2025-10-31,BKG.L,0,0,1,1,-0.0046632233294695,-0.0675273088381328,Ridge daily_ohlcv
2025-10-31,BLND.L,0,1,1,0,-0.007121310629789,0.0716542576940346,Ridge daily_ohlcv
2025-10-31,BNZL.L,0,0,0,0,0.0077168079158507,-0.0639295248682054,Ridge daily_ohlcv
2025-10-31,BRBY.L,1,0,0,1,0.0133365326168622,-0.079191919191919,Ridge daily_ohlcv
2025-10-31,BT-A.L,1,0,0,0,0.014606534520926,-0.0258411768021187,Ridge daily_ohlcv
2025-10-31,BTRW.L,0,0,1,0,-0.001983434500134,0.0480999135725208,Ridge daily_ohlcv
2025-10-31,CCEP.L,0,0,0,0,0.0030331250582146,0.0207369463158599,Ridge daily_ohlcv
2025-10-31,CCH.L,0,1,0,0,0.00829965172311,0.096699478865085,Ridge daily_ohlcv
2025-10-31,CNA.L,0,0,0,0,0.0021830658960137,-0.0435025191120903,Ridge daily_ohlcv
2025-10-31,CPG.L,0,0,0,0,-6.759585429266628e-05,-0.0591035397167724,Ridge daily_ohlcv
2025-10-31,CRDA.L,0,0,0,0,-0.0002383336726332,-0.0571527461354113,Ridge daily_ohlcv
2025-10-31,CTEC.L,0,0,0,0,-0.0003185299137776,-0.0352169832657522,Ridge daily_ohlcv
2025-10-31,DCC.L,0,0,0,0,0.0021546602732176,-0.0030534054999509,Ridge daily_ohlcv
