trial_number,XGB_N_ESTIMATORS,XGB_MAX_DEPTH,XGB_LEARNING_RATE,XGB_SUBSAMPLE,XGB_COLSAMPLE_BYTREE,XGB_REG_ALPHA,XGB_REG_LAMBDA,XGB_MIN_CHILD_WEIGHT,XGB_GAMMA,fold,train_start,train_end,val_start,val_end,RMSE,DirectionalAccuracy,SpearmanRankCorr_mean,TopKHitRate_mean,Months_evaluated
12,400,2,0.008403117953477104,0.6483663861762013,0.9718790609370292,1.616240759128834,3.533615026041694,18,0.8036720768991145,2,2015-12-31,2018-11-30,2018-12-31,2020-05-31,0.09373901835383246,0.5710942071386775,,0.1735380116959064,18
12,400,2,0.008403117953477104,0.6483663861762013,0.9718790609370292,1.616240759128834,3.533615026041694,18,0.8036720768991145,3,2015-12-31,2020-05-31,2020-06-30,2021-11-30,0.09236778879621296,0.5840909090909091,-0.08923379950460765,0.1638888888888889,18
12,400,2,0.008403117953477104,0.6483663861762013,0.9718790609370292,1.616240759128834,3.533615026041694,18,0.8036720768991145,4,2015-12-31,2021-11-30,2021-12-31,2023-05-31,0.08540594600501883,0.4886621315192744,,0.21666666666666667,18
12,400,2,0.008403117953477104,0.6483663861762013,0.9718790609370292,1.616240759128834,3.533615026041694,18,0.8036720768991145,5,2015-12-31,2023-05-31,2023-06-30,2024-11-30,0.07208337794047752,0.5278725824800911,-0.0035566671269886513,0.2260233918128655,18
13,400,5,0.013141951020717808,0.8422320465492188,0.9584365199693973,0.6360069499437278,1.440207698110707,8,0.4271077886262563,1,2015-12-31,2017-05-31,2017-06-30,2018-11-30,0.064297479575002,0.4729005360333532,,0.19005847953216373,18
13,400,5,0.013141951020717808,0.8422320465492188,0.9584365199693973,0.6360069499437278,1.440207698110707,8,0.4271077886262563,2,2015-12-31,2018-11-30,2018-12-31,2020-05-31,0.09365691992087313,0.5710942071386775,0.016847057179293384,0.19985380116959062,18
13,400,5,0.013141951020717808,0.8422320465492188,0.9584365199693973,0.6360069499437278,1.440207698110707,8,0.4271077886262563,3,2015-12-31,2020-05-31,2020-06-30,2021-11-30,0.0940536979347961,0.5482954545454546,-0.06323540074234696,0.2361111111111111,18
13,400,5,0.013141951020717808,0.8422320465492188,0.9584365199693973,0.6360069499437278,1.440207698110707,8,0.4271077886262563,4,2015-12-31,2021-11-30,2021-12-31,2023-05-31,0.0851324088761737,0.48696145124716556,0.0596344916842555,0.2805555555555556,18
13,400,5,0.013141951020717808,0.8422320465492188,0.9584365199693973,0.6360069499437278,1.440207698110707,8,0.4271077886262563,5,2015-12-31,2023-05-31,2023-06-30,2024-11-30,0.07222406119080779,0.5278725824800911,-0.015845147469711465,0.26812865497076027,18
14,800,5,0.005062672258097654,0.7532241907732697,0.7669644012595116,0.4442156209414605,1.4794614693347312,10,0.9429097039125192,1,2015-12-31,2017-05-31,2017-06-30,2018-11-30,0.06427927585036641,0.4729005360333532,,0.19005847953216373,18
